opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,engage_quarter,close_quarter
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,05-11-16,06-03-17,3284,Q4 2016,Q1 2017
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,06-11-16,05-03-17,61,Q4 2016,Q1 2017
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,07-11-16,09-03-17,0,Q4 2016,Q1 2017
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,07-11-16,08-03-17,46,Q4 2016,Q1 2017
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,07-11-16,17-03-17,0,Q4 2016,Q1 2017
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,07-11-16,18-03-17,50,Q4 2016,Q1 2017
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,07-11-16,11-03-17,1014,Q4 2016,Q1 2017
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,08-11-16,26-03-17,561,Q4 2016,Q1 2017
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,10-11-16,23-03-17,590,Q4 2016,Q1 2017
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,10-11-16,,,Q4 2016,
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,10-11-16,12-03-17,61,Q4 2016,Q1 2017
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,10-11-16,11-03-17,0,Q4 2016,Q1 2017
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,11-11-16,05-03-17,58,Q4 2016,Q1 2017
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,11-11-16,14-03-17,4899,Q4 2016,Q1 2017
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,11-11-16,01-03-17,0,Q4 2016,Q1 2017
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,11-11-16,03-03-17,67,Q4 2016,Q1 2017
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,12-11-16,06-03-17,4338,Q4 2016,Q1 2017
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,12-11-16,19-03-17,578,Q4 2016,Q1 2017
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,12-11-16,01-03-17,556,Q4 2016,Q1 2017
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,12-11-16,03-03-17,635,Q4 2016,Q1 2017
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,12-11-16,07-03-17,3045,Q4 2016,Q1 2017
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,13-11-16,14-03-17,1233,Q4 2016,Q1 2017
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,13-11-16,09-03-17,60,Q4 2016,Q1 2017
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,14-11-16,30-03-17,0,Q4 2016,Q1 2017
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,14-11-16,08-03-17,0,Q4 2016,Q1 2017
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,14-11-16,20-03-17,1170,Q4 2016,Q1 2017
EG7OFLFR,Kami Bicknell,GTX Basic,,Engaging,14-11-16,,,Q4 2016,
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,15-11-16,20-03-17,1162,Q4 2016,Q1 2017
OLVI7L8M,Cassey Cress,GTXPro,,Engaging,16-11-16,,,Q4 2016,
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,16-11-16,14-03-17,3725,Q4 2016,Q1 2017
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,16-11-16,31-03-17,559,Q4 2016,Q1 2017
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,16-11-16,11-03-17,0,Q4 2016,Q1 2017
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,17-11-16,21-03-17,0,Q4 2016,Q1 2017
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,17-11-16,05-03-17,4667,Q4 2016,Q1 2017
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,17-11-16,17-03-17,903,Q4 2016,Q1 2017
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,17-11-16,13-03-17,1180,Q4 2016,Q1 2017
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,17-11-16,05-03-17,487,Q4 2016,Q1 2017
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,18-11-16,04-03-17,3180,Q4 2016,Q1 2017
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,19-11-16,17-03-17,0,Q4 2016,Q1 2017
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,19-11-16,18-03-17,3563,Q4 2016,Q1 2017
F5U1ACDD,Kami Bicknell,GTX Plus Basic,,Engaging,19-11-16,,,Q4 2016,
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,20-11-16,23-03-17,4704,Q4 2016,Q1 2017
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,20-11-16,14-03-17,5585,Q4 2016,Q1 2017
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,20-11-16,09-03-17,25897,Q4 2016,Q1 2017
ZZY4516R,Hayden Neloms,MG Advanced,,Engaging,20-11-16,,,Q4 2016,
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,20-11-16,03-03-17,1207,Q4 2016,Q1 2017
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,20-11-16,08-03-17,0,Q4 2016,Q1 2017
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,20-11-16,04-03-17,559,Q4 2016,Q1 2017
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,20-11-16,,,Q4 2016,
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,20-11-16,09-03-17,1033,Q4 2016,Q1 2017
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,21-11-16,21-03-17,462,Q4 2016,Q1 2017
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,21-11-16,01-03-17,0,Q4 2016,Q1 2017
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,21-11-16,14-03-17,5539,Q4 2016,Q1 2017
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,21-11-16,15-03-17,3573,Q4 2016,Q1 2017
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,21-11-16,01-03-17,4926,Q4 2016,Q1 2017
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,21-11-16,17-03-17,0,Q4 2016,Q1 2017
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,22-11-16,04-03-17,62,Q4 2016,Q1 2017
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,22-11-16,14-03-17,4359,Q4 2016,Q1 2017
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,22-11-16,31-03-17,566,Q4 2016,Q1 2017
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,22-11-16,03-03-17,508,Q4 2016,Q1 2017
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,22-11-16,20-03-17,0,Q4 2016,Q1 2017
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,22-11-16,11-03-17,51,Q4 2016,Q1 2017
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,22-11-16,05-03-17,4899,Q4 2016,Q1 2017
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,23-11-16,,,Q4 2016,
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,23-11-16,03-03-17,5790,Q4 2016,Q1 2017
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,23-11-16,30-03-17,0,Q4 2016,Q1 2017
GYB4W2AU,Elease Gluck,MG Advanced,,Engaging,23-11-16,,,Q4 2016,
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,23-11-16,03-03-17,4438,Q4 2016,Q1 2017
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,23-11-16,17-03-17,2972,Q4 2016,Q1 2017
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,23-11-16,,,Q4 2016,
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,23-11-16,01-03-17,523,Q4 2016,Q1 2017
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,24-11-16,25-03-17,3647,Q4 2016,Q1 2017
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,24-11-16,01-03-17,4200,Q4 2016,Q1 2017
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,24-11-16,,,Q4 2016,
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,24-11-16,,,Q4 2016,
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,24-11-16,28-03-17,1059,Q4 2016,Q1 2017
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,24-11-16,05-03-17,0,Q4 2016,Q1 2017
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,24-11-16,02-03-17,57,Q4 2016,Q1 2017
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,24-11-16,27-03-17,3671,Q4 2016,Q1 2017
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,25-11-16,01-03-17,58,Q4 2016,Q1 2017
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,25-11-16,06-03-17,3956,Q4 2016,Q1 2017
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,25-11-16,01-03-17,5964,Q4 2016,Q1 2017
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,25-11-16,06-03-17,4570,Q4 2016,Q1 2017
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,25-11-16,27-03-17,49,Q4 2016,Q1 2017
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,25-11-16,06-03-17,65,Q4 2016,Q1 2017
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,26-11-16,27-03-17,0,Q4 2016,Q1 2017
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,26-11-16,08-03-17,4739,Q4 2016,Q1 2017
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,26-11-16,21-03-17,1080,Q4 2016,Q1 2017
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,26-11-16,12-03-17,57,Q4 2016,Q1 2017
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,27-11-16,16-03-17,469,Q4 2016,Q1 2017
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,27-11-16,03-03-17,532,Q4 2016,Q1 2017
PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,27-11-16,,,Q4 2016,
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,27-11-16,26-03-17,538,Q4 2016,Q1 2017
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,27-11-16,21-03-17,4829,Q4 2016,Q1 2017
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,27-11-16,11-03-17,5370,Q4 2016,Q1 2017
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,27-11-16,21-03-17,6499,Q4 2016,Q1 2017
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,28-11-16,06-03-17,1161,Q4 2016,Q1 2017
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,28-11-16,26-03-17,576,Q4 2016,Q1 2017
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,28-11-16,19-03-17,979,Q4 2016,Q1 2017
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,28-11-16,07-03-17,43,Q4 2016,Q1 2017
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,29-11-16,07-03-17,57,Q4 2016,Q1 2017
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,29-11-16,28-03-17,0,Q4 2016,Q1 2017
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,29-11-16,12-03-17,948,Q4 2016,Q1 2017
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,29-11-16,10-03-17,3012,Q4 2016,Q1 2017
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,30-11-16,15-03-17,3665,Q4 2016,Q1 2017
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,30-11-16,24-03-17,564,Q4 2016,Q1 2017
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,01-12-16,06-03-17,0,Q4 2016,Q1 2017
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,01-12-16,22-03-17,3463,Q4 2016,Q1 2017
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,01-12-16,26-03-17,513,Q4 2016,Q1 2017
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,01-12-16,28-03-17,590,Q4 2016,Q1 2017
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,01-12-16,30-03-17,4511,Q4 2016,Q1 2017
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,01-12-16,02-03-17,0,Q4 2016,Q1 2017
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,01-12-16,26-03-17,546,Q4 2016,Q1 2017
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,01-12-16,05-03-17,46,Q4 2016,Q1 2017
A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,02-12-16,09-03-17,4891,Q4 2016,Q1 2017
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,02-12-16,03-03-17,1040,Q4 2016,Q1 2017
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,02-12-16,04-03-17,1108,Q4 2016,Q1 2017
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,02-12-16,04-03-17,59,Q4 2016,Q1 2017
22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,02-12-16,30-03-17,5406,Q4 2016,Q1 2017
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,02-12-16,20-03-17,515,Q4 2016,Q1 2017
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,02-12-16,06-03-17,583,Q4 2016,Q1 2017
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,02-12-16,14-03-17,54,Q4 2016,Q1 2017
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,02-12-16,27-03-17,60,Q4 2016,Q1 2017
CNM0H9FR,Zane Levy,GTX Basic,,Engaging,02-12-16,,,Q4 2016,
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,03-12-16,12-03-17,0,Q4 2016,Q1 2017
TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,03-12-16,19-03-17,0,Q4 2016,Q1 2017
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,03-12-16,23-03-17,516,Q4 2016,Q1 2017
B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,03-12-16,22-03-17,4829,Q4 2016,Q1 2017
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,03-12-16,17-03-17,0,Q4 2016,Q1 2017
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,03-12-16,02-03-17,950,Q4 2016,Q1 2017
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,03-12-16,09-03-17,0,Q4 2016,Q1 2017
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,04-12-16,20-03-17,513,Q4 2016,Q1 2017
3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,04-12-16,09-03-17,0,Q4 2016,Q1 2017
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,04-12-16,12-03-17,5522,Q4 2016,Q1 2017
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,04-12-16,09-03-17,56,Q4 2016,Q1 2017
JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,04-12-16,08-03-17,5673,Q4 2016,Q1 2017
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,04-12-16,10-03-17,598,Q4 2016,Q1 2017
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,04-12-16,16-03-17,5787,Q4 2016,Q1 2017
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,04-12-16,08-03-17,1070,Q4 2016,Q1 2017
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,05-12-16,14-03-17,3677,Q4 2016,Q1 2017
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,05-12-16,30-03-17,5425,Q4 2016,Q1 2017
UAE5ZC7O,Daniell Hammack,GTX Plus Pro,,Engaging,05-12-16,,,Q4 2016,
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,05-12-16,23-03-17,3415,Q4 2016,Q1 2017
JUCNIG4H,James Ascencio,GTX Basic,,Engaging,05-12-16,,,Q4 2016,
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,05-12-16,21-03-17,891,Q4 2016,Q1 2017
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,06-12-16,12-03-17,609,Q4 2016,Q1 2017
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,06-12-16,16-03-17,54,Q4 2016,Q1 2017
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,06-12-16,09-03-17,1049,Q4 2016,Q1 2017
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,07-12-16,07-03-17,1152,Q4 2016,Q1 2017
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,07-12-16,20-03-17,0,Q4 2016,Q1 2017
1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,07-12-16,28-03-17,4799,Q4 2016,Q1 2017
E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,07-12-16,12-03-17,51,Q4 2016,Q1 2017
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,07-12-16,03-03-17,3426,Q4 2016,Q1 2017
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,07-12-16,11-03-17,51,Q4 2016,Q1 2017
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,07-12-16,20-03-17,564,Q4 2016,Q1 2017
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,08-12-16,01-03-17,5882,Q4 2016,Q1 2017
ICMXZOVL,Daniell Hammack,GTXPro,Stanredtax,Engaging,08-12-16,,,Q4 2016,
UQ14O415,Donn Cantrell,GTXPro,Plussunin,Won,08-12-16,20-03-17,5059,Q4 2016,Q1 2017
IBEUTCSW,James Ascencio,MG Advanced,,Engaging,08-12-16,,,Q4 2016,
O3KC8QI8,Kami Bicknell,GTX Plus Basic,,Engaging,08-12-16,,,Q4 2016,
BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,08-12-16,11-03-17,3388,Q4 2016,Q1 2017
WALNFJ70,Kary Hendrixson,GTX Plus Pro,,Engaging,08-12-16,,,Q4 2016,
DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,08-12-16,10-03-17,5410,Q4 2016,Q1 2017
A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,08-12-16,28-03-17,978,Q4 2016,Q1 2017
E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,08-12-16,26-03-17,54,Q4 2016,Q1 2017
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,09-12-16,22-03-17,0,Q4 2016,Q1 2017
V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,09-12-16,14-03-17,549,Q4 2016,Q1 2017
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,09-12-16,14-03-17,1034,Q4 2016,Q1 2017
9R8JWY3J,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,09-12-16,03-03-17,4998,Q4 2016,Q1 2017
0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,09-12-16,28-03-17,3421,Q4 2016,Q1 2017
HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,09-12-16,04-03-17,5425,Q4 2016,Q1 2017
Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,09-12-16,15-03-17,55,Q4 2016,Q1 2017
R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,09-12-16,14-03-17,3558,Q4 2016,Q1 2017
MNVMY83P,Cassey Cress,GTXPro,Plussunin,Engaging,10-12-16,,,Q4 2016,
0ZHLQFGU,Kami Bicknell,GTXPro,Blackzim,Won,10-12-16,22-03-17,4839,Q4 2016,Q1 2017
40DPY158,Markita Hansen,MG Special,Hottechi,Won,10-12-16,25-03-17,47,Q4 2016,Q1 2017
DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,10-12-16,24-03-17,1007,Q4 2016,Q1 2017
DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,10-12-16,24-03-17,48,Q4 2016,Q1 2017
CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,10-12-16,07-03-17,49,Q4 2016,Q1 2017
OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,10-12-16,18-03-17,504,Q4 2016,Q1 2017
ZOBJHMAF,Cassey Cress,MG Advanced,,Engaging,11-12-16,,,Q4 2016,
KD6MB4AP,Elease Gluck,MG Special,,Engaging,11-12-16,,,Q4 2016,
5CSSZJF4,Jonathan Berthelot,GTX Basic,Finhigh,Won,11-12-16,21-03-17,543,Q4 2016,Q1 2017
0XG8TOJF,Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,11-12-16,18-03-17,0,Q4 2016,Q1 2017
IIS0O91J,Kary Hendrixson,GTXPro,Fasehatice,Won,11-12-16,28-03-17,5149,Q4 2016,Q1 2017
2LP5SUR5,Lajuana Vencill,GTX Basic,Treequote,Lost,11-12-16,09-03-17,0,Q4 2016,Q1 2017
PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,11-12-16,11-03-17,1043,Q4 2016,Q1 2017
5I4K5TQE,Cassey Cress,GTX Plus Pro,Sumace,Lost,12-12-16,09-03-17,0,Q4 2016,Q1 2017
RV3LPOYP,James Ascencio,GTX Basic,Condax,Won,12-12-16,29-03-17,437,Q4 2016,Q1 2017
A194RP0I,Rosalina Dieter,MG Advanced,,Engaging,12-12-16,,,Q4 2016,
1HVNTEPV,Rosie Papadopoulos,GTXPro,Kinnamplus,Won,12-12-16,11-03-17,4465,Q4 2016,Q1 2017
LC85AQ1I,Vicki Laflamme,GTX Basic,Konex,Won,12-12-16,18-03-17,443,Q4 2016,Q1 2017
TBV972NP,Violet Mclelland,MG Special,Sumace,Lost,12-12-16,23-03-17,0,Q4 2016,Q1 2017
EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,13-12-16,20-03-17,4278,Q4 2016,Q1 2017
VR9NYBOV,Garret Kinder,MG Special,Kinnamplus,Won,13-12-16,06-03-17,41,Q4 2016,Q1 2017
3U25FK08,Jonathan Berthelot,GTX Basic,Isdom,Won,13-12-16,28-03-17,519,Q4 2016,Q1 2017
KV2OFRJT,Kami Bicknell,GTXPro,,Engaging,13-12-16,,,Q4 2016,
CRLK4Z1P,Maureen Marcano,GTX Basic,Kan-code,Won,13-12-16,04-03-17,524,Q4 2016,Q1 2017
OGENAT0L,Zane Levy,GTX Basic,Singletechno,Won,13-12-16,27-03-17,552,Q4 2016,Q1 2017
F57JWIDF,Gladys Colclough,GTX Plus Basic,Konmatfix,Won,14-12-16,02-03-17,970,Q4 2016,Q1 2017
ERFRHR3Z,Hayden Neloms,MG Advanced,,Engaging,14-12-16,,,Q4 2016,
J53D8EOL,Kary Hendrixson,GTX Plus Basic,Hottechi,Engaging,14-12-16,,,Q4 2016,
LF8JZ3Q5,Kary Hendrixson,GTX Plus Basic,Hatfan,Won,14-12-16,13-03-17,1046,Q4 2016,Q1 2017
MRGBSMQ5,Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,14-12-16,14-03-17,988,Q4 2016,Q1 2017
CBAV8ZJL,Lajuana Vencill,GTX Basic,Codehow,Won,14-12-16,22-03-17,547,Q4 2016,Q1 2017
J32XDDAW,Markita Hansen,GTX Basic,,Engaging,14-12-16,,,Q4 2016,
NN4DWBVN,Maureen Marcano,GTXPro,Singletechno,Lost,14-12-16,04-03-17,0,Q4 2016,Q1 2017
6JXHEZYK,Versie Hillebrand,MG Special,Isdom,Won,14-12-16,31-03-17,54,Q4 2016,Q1 2017
WDHNR2EI,Violet Mclelland,MG Special,Silis,Won,14-12-16,20-03-17,57,Q4 2016,Q1 2017
4K750D6F,Violet Mclelland,MG Special,Yearin,Won,14-12-16,18-03-17,55,Q4 2016,Q1 2017
94GI0ZJ7,Anna Snelling,GTX Plus Pro,Stanredtax,Won,15-12-16,15-03-17,5765,Q4 2016,Q1 2017
